company_id,year,roe_difference,roce_difference,category
COALINDIA,Mar 2014,16.36,27.96,Formula Difference
COALINDIA,Mar 2015,17.979999999999997,29.58,Formula Difference
COALINDIA,Mar 2016,11.04,22.64,Formula Difference
COALINDIA,Mar 2017,14.149999999999999,25.75,Formula Difference
COALINDIA,Mar 2018,17.119999999999997,28.72,Formula Difference
COALINDIA,Mar 2019,14.010000000000005,2.4100000000000037,Formula Difference
COALINDIA,Mar 2020,0.07000000000000028,11.670000000000002,Formula Difference
COALINDIA,Mar 2021,17.22,28.82,Formula Difference
COALINDIA,Mar 2022,11.719999999999999,23.32,Formula Difference
COALINDIA,Mar 2023,0.14000000000000057,11.46,Formula Difference
COALINDIA,Mar 2024,6.829999999999998,18.43,Formula Difference
DABUR,Mar 2013,17.360000000000003,14.260000000000002,Formula Difference
DABUR,Mar 2014,15.290000000000003,12.190000000000001,Formula Difference
DABUR,Mar 2015,12.64,9.54,Formula Difference
DABUR,Mar 2016,10.86,7.759999999999998,Formula Difference
DABUR,Mar 2017,7.210000000000001,4.109999999999999,Formula Difference
DABUR,Mar 2019,6.470000000000002,3.370000000000001,Formula Difference
DIVISLAB,Mar 2013,11.870000000000001,7.57,Formula Difference
DIVISLAB,Mar 2014,13.879999999999999,9.579999999999998,Formula Difference
DIVISLAB,Mar 2015,12.170000000000002,7.870000000000001,Formula Difference
DIVISLAB,Mar 2016,14.030000000000001,9.73,Formula Difference
DIVISLAB,Mar 2017,7.59,3.289999999999999,Formula Difference
DIVISLAB,Mar 2019,7.25,2.9499999999999993,Formula Difference
DIVISLAB,Mar 2020,6.640000000000001,2.34,Formula Difference
DIVISLAB,Mar 2021,9.14,4.84,Formula Difference
DIVISLAB,Mar 2022,13.04,8.739999999999998,Formula Difference
DLF,Mar 2015,5.1,3.89,Formula Difference
DLF,Mar 2016,5.68,4.470000000000001,Formula Difference
DLF,Mar 2018,5.7299999999999995,6.9399999999999995,Formula Difference
DLF,Mar 2020,8.66,7.45,Formula Difference
DMART,Mar 2013,2.59,7.489999999999998,Formula Difference
DMART,Mar 2016,6.539999999999999,1.6400000000000006,Formula Difference
DMART,Mar 2017,2.0299999999999994,6.929999999999998,Formula Difference
DMART,Mar 2020,2.76,7.659999999999998,Formula Difference
DMART,Mar 2021,5.48,10.379999999999999,Formula Difference
DMART,Mar 2022,3.59,8.489999999999998,Formula Difference
DMART,Mar 2024,0.9399999999999995,5.839999999999998,Formula Difference
DRREDDY,Mar 2016,4.449999999999999,9.55,Formula Difference
DRREDDY,Mar 2017,10.86,15.96,Formula Difference
DRREDDY,Mar 2018,13.869999999999997,18.97,Formula Difference
DRREDDY,Mar 2019,7.499999999999998,12.6,Formula Difference
DRREDDY,Mar 2020,8.409999999999998,13.51,Formula Difference
DRREDDY,Mar 2021,10.329999999999998,15.43,Formula Difference
DRREDDY,Mar 2022,10.04,15.14,Formula Difference
DRREDDY,Mar 2023,2.049999999999997,7.149999999999999,Formula Difference
DRREDDY,Mar 2024,1.6600000000000001,6.760000000000002,Formula Difference
EICHERMOT,Dec 2013,1.3500000000000014,5.550000000000001,Formula Difference
EICHERMOT,Mar 2016,12.430000000000003,5.530000000000001,Formula Difference
EICHERMOT,Mar 2017,6.990000000000002,0.08999999999999986,Formula Difference
EICHERMOT,Mar 2019,0.5,6.400000000000002,Formula Difference
EICHERMOT,Mar 2020,5.899999999999999,12.8,Formula Difference
EICHERMOT,Mar 2021,12.42,19.32,Formula Difference
EICHERMOT,Mar 2022,10.899999999999999,17.8,Formula Difference
EICHERMOT,Mar 2023,4.759999999999998,11.66,Formula Difference
EICHERMOT,Mar 2024,2.0299999999999976,8.93,Formula Difference
GAIL,Mar 2015,4.710000000000001,5.41,Formula Difference
GAIL,Mar 2016,8.85,9.549999999999999,Formula Difference
GAIL,Mar 2017,5.42,6.119999999999999,Formula Difference
GAIL,Mar 2020,5.309999999999999,4.609999999999999,Formula Difference
GAIL,Mar 2022,5.190000000000001,4.490000000000002,Formula Difference
GAIL,Mar 2023,5.380000000000001,6.08,Formula Difference
GODREJCP,Mar 2013,18.740000000000002,0.9799999999999969,Formula Difference
GODREJCP,Mar 2014,14.93,4.789999999999999,Formula Difference
GODREJCP,Mar 2015,15.870000000000001,3.849999999999998,Formula Difference
GODREJCP,Mar 2016,12.71,7.009999999999998,Formula Difference
GODREJCP,Mar 2017,17.900000000000002,1.8199999999999967,Formula Difference
GODREJCP,Mar 2018,19.34,0.379999999999999,Formula Difference
GODREJCP,Mar 2019,25.459999999999997,5.739999999999998,Formula Difference
GODREJCP,Mar 2020,12.18,7.539999999999999,Formula Difference
GODREJCP,Mar 2021,11.46,8.259999999999998,Formula Difference
GODREJCP,Mar 2022,8.66,11.059999999999999,Formula Difference
GODREJCP,Mar 2023,5.57,14.149999999999999,Formula Difference
GODREJCP,Mar 2024,11.219999999999999,30.939999999999998,Formula Difference
GRASIM,Mar 2013,12.319999999999999,9.919999999999998,Formula Difference
GRASIM,Mar 2014,6.77,4.369999999999999,Formula Difference
GRASIM,Mar 2016,5.699999999999999,3.299999999999999,Formula Difference
GRASIM,Mar 2017,6.629999999999999,4.229999999999999,Formula Difference
GRASIM,Mar 2022,7.9,5.5,Formula Difference
GRASIM,Mar 2023,7.17,4.77,Formula Difference
HAL,Mar 2016,1636.1,1626.1,Formula Difference
HAL,Mar 2017,1938.02,1928.02,Formula Difference
HAL,Mar 2018,1499.56,1489.56,Formula Difference
HAL,Mar 2019,1735.01,1725.01,Formula Difference
HAL,Mar 2020,2030.52,2020.52,Formula Difference
HAL,Mar 2021,2220.41,2210.41,Formula Difference
HAL,Mar 2022,3295.2799999999997,3285.2799999999997,Formula Difference
HAL,Mar 2023,3254.15,3244.15,Formula Difference
HAL,Mar 2024,3787.68,3777.68,Formula Difference
HAVELLS,Mar 2013,22.29,15.89,Formula Difference
HAVELLS,Mar 2014,8.77,2.370000000000001,Formula Difference
HAVELLS,Mar 2016,24.950000000000003,18.550000000000004,Formula Difference
HAVELLS,Mar 2017,2.92,9.319999999999999,Formula Difference
HAVELLS,Mar 2018,0.28000000000000114,6.68,Formula Difference
HAVELLS,Mar 2019,0.7699999999999996,5.629999999999999,Formula Difference
HAVELLS,Mar 2020,0.9499999999999993,7.349999999999998,Formula Difference
HAVELLS,Mar 2023,1.8200000000000003,8.219999999999999,Formula Difference
HAVELLS,Mar 2024,0.9299999999999997,7.329999999999998,Formula Difference
HCLTECH,Jun 2013,7.390000000000001,1.0899999999999999,Formula Difference
HCLTECH,Jun 2014,10.09,3.789999999999999,Formula Difference
HCLTECH,Jun 2015,7.009999999999998,0.7099999999999973,Formula Difference
HCLTECH,Mar 2018,0.6699999999999982,5.630000000000003,Formula Difference
HCLTECH,Mar 2019,1.1600000000000001,5.140000000000001,Formula Difference
HCLTECH,Mar 2020,1.7300000000000004,8.030000000000001,Formula Difference
HCLTECH,Mar 2021,4.66,10.96,Formula Difference
HCLTECH,Mar 2022,1.4600000000000009,7.760000000000002,Formula Difference
HCLTECH,Mar 2023,0.6000000000000014,6.900000000000002,Formula Difference
HCLTECH,Mar 2024,0.28999999999999915,6.59,Formula Difference
HDFCBANK,Mar 2013,1.7399999999999984,11.17,Formula Difference
HDFCBANK,Mar 2014,2.75,12.180000000000001,Formula Difference
HDFCBANK,Mar 2015,0.15000000000000213,9.28,Formula Difference
HDFCBANK,Mar 2016,0.14999999999999858,9.58,Formula Difference
HDFCBANK,Mar 2017,0.41000000000000014,9.020000000000001,Formula Difference
HDFCBANK,Mar 2018,0.16000000000000014,9.270000000000001,Formula Difference
HDFCBANK,Mar 2019,2.490000000000002,6.9399999999999995,Formula Difference
HDFCBANK,Mar 2020,1.620000000000001,7.8100000000000005,Formula Difference
HDFCBANK,Mar 2021,1.9200000000000017,7.51,Formula Difference
HDFCBANK,Mar 2022,1.6700000000000017,7.76,Formula Difference
HDFCBANK,Mar 2023,1.160000000000002,8.27,Formula Difference
HDFCBANK,Mar 2024,2.7600000000000016,6.67,Formula Difference
HDFCLIFE,Mar 2013,22.03,26.82,Formula Difference
HDFCLIFE,Mar 2014,26.200000000000003,30.990000000000002,Formula Difference
HDFCLIFE,Mar 2015,19.53,24.32,Formula Difference
HDFCLIFE,Mar 2016,14.929999999999998,19.72,Formula Difference
HDFCLIFE,Mar 2017,11.78,16.57,Formula Difference
HDFCLIFE,Mar 2018,12.13,16.92,Formula Difference
HDFCLIFE,Mar 2019,11.249999999999998,16.04,Formula Difference
HDFCLIFE,Mar 2020,7.65,12.440000000000001,Formula Difference
HDFCLIFE,Mar 2021,4.35,9.14,Formula Difference
HEROMOTOCO,Mar 2014,15.380000000000003,8.280000000000001,Formula Difference
HEROMOTOCO,Mar 2015,14.149999999999999,7.049999999999997,Formula Difference
HEROMOTOCO,Mar 2016,13.229999999999997,6.1299999999999955,Formula Difference
HEROMOTOCO,Mar 2017,12.369999999999997,5.269999999999996,Formula Difference
HEROMOTOCO,Mar 2018,9.09,1.9899999999999984,Formula Difference
